TT		PID		AT		CT		IO_D		WT		RT		TRT
27		71		19		0		0		8		0		8
27		73		23		0		0		4		0		4
27		6		16		10		0		1		1		11
44		19		28		15		0		1		1		16
51		20		30		20		0		1		1		21
55		34		52		2		0		1		1		3
61		12		22		20		0		19		7		39
67		75		33		24		0		10		0		34
67		72		21		0		0		46		0		46
67		78		49		0		0		18		0		18
67		77		37		0		0		30		0		30
67		74		24		39		0		4		0		43
67		79		60		0		0		7		0		7
67		7		16		50		0		1		1		51
70		28		47		3		0		20		20		23
70		16		28		19		0		23		1		42
75		37		55		19		0		1		1		20
78		4		12		4		0		62		1		66
80		24		38		10		0		32		32		42
81		82		73		0		0		8		0		8
84		85		83		0		0		1		0		1
84		83		78		0		0		6		0		6
84		76		36		17		0		31		0		48
85		8		17		15		0		53		50		68
87		10		21		50		0		16		1		66
92		84		82		0		0		10		0		10
92		87		87		0		0		5		0		5
92		80		68		14		0		10		0		24
92		35		52		18		0		22		3		40
96		3		9		50		7		37		1		87
105		92		96		0		0		9		0		9
105		93		97		0		0		8		0		8
105		59		92		12		0		1		1		13
108		51		81		23		0		4		4		27
109		91		96		0		0		13		0		13
109		89		94		0		0		15		0		15
109		27		44		20		0		45		45		65
115		95		112		0		0		3		0		3
115		96		114		0		0		1		0		1
115		86		87		6		0		22		0		28
116		88		93		0		0		23		0		23
116		90		95		0		0		21		0		21
116		43		69		24		0		23		23		47
118		50		79		4		0		35		35		39
121		48		76		9		0		36		36		45
127		67		103		23		0		1		1		24
130		94		106		15		0		9		0		24
130		97		115		0		0		15		0		15
130		98		117		0		0		13		0		13
130		101		120		0		0		10		0		10
130		60		92		25		0		13		13		38
131		63		98		13		0		20		20		33
131		18		28		30		0		73		11		103
139		103		137		1		0		1		0		2
139		102		134		0		0		5		0		5
139		99		117		9		0		13		0		22
141		104		138		0		0		3		0		3
141		105		139		0		0		2		0		2
141		81		72		10		0		59		0		69
153		40		63		20		0		70		70		90
157		5		13		20		30		124		1		144
157		39		61		40		0		56		18		96
159		56		87		18		0		54		1		72
162		17		28		70		0		64		64		134
164		68		103		25		0		36		36		61
172		21		32		20		20		120		1		140
174		25		38		30		0		106		21		136
176		44		69		17		0		90		48		107
177		42		66		7		19		104		42		111
181		110		147		0		0		34		0		34
181		111		151		0		0		30		0		30
181		106		140		40		0		1		0		41
181		107		142		0		0		39		0		39
181		61		95		42		0		44		44		86
184		69		106		17		0		61		45		78
186		15		26		40		0		120		33		160
187		30		47		19		23		121		49		140
191		38		58		19		0		114		114		133
197		33		52		20		0		125		109		145
210		115		188		0		0		22		0		22
210		108		143		27		0		40		0		67
210		112		182		0		0		28		0		28
210		114		186		0		0		24		0		24
210		109		144		28		0		38		0		66
210		113		184		0		0		26		0		26
210		9		18		90		0		102		7		192
217		64		98		26		0		93		93		119
220		23		36		54		0		130		13		184
223		52		84		25		0		114		20		139
225		121		222		0		0		3		0		3
225		117		215		0		0		10		0		10
225		116		211		13		0		1		0		14
225		118		216		0		0		9		0		9
225		100		119		15		0		91		0		106
228		55		84		25		0		119		40		144
229		70		107		10		13		112		9		122
237		53		84		29		0		124		30		153
240		125		231		0		0		9		0		9
240		126		232		0		0		8		0		8
240		120		222		12		0		6		0		18
242		122		226		15		0		1		0		16
242		123		228		0		0		14		0		14
242		124		229		2		0		11		0		13
242		127		241		0		0		1		0		1
242		128		242		0		0		0		0		0
242		129		242		0		0		0		0		0
242		119		217		17		0		8		0		25
255		26		41		97		0		117		46		214
257		65		98		28		0		131		131		159
258		32		52		41		0		165		165		206
264		66		100		27		0		137		91		164
270		13		23		15		0		232		232		247
277		46		72		29		0		176		27		205
285		58		89		15		0		181		181		196
287		22		35		50		0		202		202		252
292		45		71		28		0		193		193		221
292		49		76		25		0		191		158		216
294		29		47		17		26		230		23		247
297		36		52		20		0		225		225		245
298		1		5		88		0		205		1		293
304		47		74		56		0		174		80		230
315		11		22		15		70		278		3		293
325		41		66		20		23		239		131		259
336		54		84		43		13		209		100		252
359		31		50		28		64		281		29		309
362		2		7		92		0		263		2		355
387		57		89		21		49		277		42		298
407		62		95		24		16		288		136		312
476		14		23		50		30		403		297		453
Processes:129
Avg WT = 65.4109,     Avg RT = 28.7907,      Avg TRT = 83
Migration %:      RTF = 23.2558%,      MaxW = 3.10078% 
Work Steal % :4%
Forked Processes: 45% 
Killed Processes: 39.5349% 
EDF: Finished Before Deadline: 10.8527% 
Processors: 9[3 FCFS, 2 SJF, 2 RR, 2 EDF] 
Processors Load
p1=9.11458%,   p2=9.02778%,   p3=9.15799%,   p4=14.5833%,   p5=12.8906%,   p6=10.5903%,   p7=8.76736%,   p8=11.6753%,   p9=16.1892%
Processors Utilization
p1=44.2105%,   p2=43.7895%,   p3=44.4211%,   p4=70.7368%,   p5=62.5263%,   p6=51.3684%,   p7=42.5263%,   p8=56.6316%,   p9=78.5263%
Avg utilization= 54.9708%
